user-id|,text|,topic|,thread-id|,time|,post-id|,replyTo|,replyBy|
ali_echav,@MariaCespedesc @KarinaNovoaL @PCaterianoB @pcmperu Gente sin estudios haciendo leyes!! Es como un médico te de un Diagnóstico siendo de 1er año 😂😂😂😂 #Elchistesecuentasolo,covid-19,1291184157096382465,2020-08-06 01:27:46,32,MariaCespedesc,ali_echav
eliana_valera,@MariaCespedesc @PCaterianoB @pcmperu Hechos! Mas que tuits. Se los agradeceremos.,covid-19,1291183700689006593,2020-08-06 01:25:57,33,MariaCespedesc,eliana_valera
BarrioTalent108,@MariaCespedesc @PCaterianoB @pcmperu Si apoyas el caos político en un país en crisis extrema eres tont@ útil de las mafias y por tanto también implícitamente formas parte  de la misma corrupción contra la cual dices luchar!,covid-19,1291183331648966661,2020-08-06 01:24:29,34,MariaCespedesc,BarrioTalent108
GDCUADROS,"@MariaCespedesc @PCaterianoB @pcmperu Ovejas o borregos ?
Han perjudicado al país.",covid-19,1291182877242204164,2020-08-06 01:22:41,35,MariaCespedesc,GDCUADROS
emmyemmyba,"@MariaCespedesc @PCaterianoB @pcmperu Yo creo que es verdad, no tienen experiencia política, pero eso no debería ofender, además que tienen asesores justamente para eso, para que puedan desempeñarse de mejor manera como congresistas.",covid-19,1291181728208429058,2020-08-06 01:18:07,36,MariaCespedesc,emmyemmyba
11c1fe41517546f,@MariaCespedesc @PCaterianoB @pcmperu Algo es mentira de lo que dijo Cateriano? No es fanatismo religioso vestirse como en los tiempos de Cristo y creer que Ataucusi iba a resucitar como el.? Es discriminatorio decir también que tienen poco conocimiento de administración pública.?,covid-19,1291181619991187456,2020-08-06 01:17:41,37,MariaCespedesc,11c1fe41517546f
techy72555626,"@MariaCespedesc @PCaterianoB @pcmperu Usted no conoce que significa CRISOL para los maestros y maestras,ser propietarios ahora de esta gran librería es magnífico para el magisterio, no puede ser que tenga el discurso de los que se opusieron a su compra y querían que se compre una chicharroneria, investigue Congresita",covid-19,1291181456606330881,2020-08-06 01:17:02,38,MariaCespedesc,techy72555626
judio_1969,"@MariaCespedesc @rennanespinoza @PCaterianoB @pcmperu Amiguita, a que te dedicabas antes de q te eligieran ""congresista""? Tienes alguna profesión? Estudiaste alguna carrera? Lo suyo no es un partido político, es un grupo de personas q viven de acuerdo a ideas retrógradas, tienen q reconocerlo, creyendo q su líder muerto resucitará",covid-19,1291180782795579392,2020-08-06 01:14:22,39,MariaCespedesc,judio_1969
techy72555626,"@MariaCespedesc @PCaterianoB @pcmperu La escuché en la comision de educacion, primero no entiendo como pueden haber invitado a personajes del movadef y usted leyó un doc. plagado de malas intenciones, usted no ha investigado sobre Derrama. Le sugiero lo haga y no se deje sorprender por esos elementos que dañarán dm",covid-19,1291180768098738179,2020-08-06 01:14:18,40,MariaCespedesc,techy72555626
patitacher,@MariaCespedesc @PCaterianoB @pcmperu Lamentablemente ustedes están siendo víctimas de zorros políticos. Como han podido crear esta inestabilidad en el país en tiempo de pandemia....que pena,covid-19,1291179472507609088,2020-08-06 01:09:09,41,MariaCespedesc,patitacher
Amfonso1,"@MariaCespedesc @PCaterianoB @pcmperu Qie pende..., como vas a extorsionar al Premier con : ""Te apoyamos si botas al Ministro de Educación y el de Trabajo ...?""",covid-19,1291179030952267776,2020-08-06 01:07:24,42,MariaCespedesc,Amfonso1
Alfredo47332212,@MariaCespedesc @ManuelhuntersS @PCaterianoB @pcmperu EXCATO USTEDES LOS PESCADOS HASTA AHORA LOS MÁS COHERNETES. BIEN NEGADO LA CONFIANZA.,covid-19,1291178297263620096,2020-08-06 01:04:29,43,MariaCespedesc,Alfredo47332212
Observadora44,"@MariaCespedesc @PCaterianoB @pcmperu A favor para No crear CRISIS,uds.tienen culpa alabando a Dios "" y al prójimo, por tus hechos te conocerán!!",covid-19,1291177403730087936,2020-08-06 01:00:56,44,MariaCespedesc,Observadora44
Observadora44,"@MariaCespedesc @PCaterianoB @pcmperu Porqué se desdice,han apoyado a gente delincuencial que solo ven sus INTERESES,o uds,por amor a Dios"" son INOCENTES,por añossss los Congresistas viven del pueblo para favorecerse ellos,el partido Morado sabe que el Sr.Cateriano No iba a cumplir todo lo ofrecido,pero votaron!!",covid-19,1291176971825754112,2020-08-06 00:59:13,45,MariaCespedesc,Observadora44
