user-id	text	topic	thread-id	time	post-id	replyTo	replyBy
Oka36581454	@MariaCespedesc @PCaterianoB Ni jodan locos de mierda	covid-19	1291066138370113543	2020-08-05 17:38:48	83	MariaCespedesc	Oka36581454
ro_solorzanoG	"@MariaCespedesc @PCaterianoB #CongresoVerguenzaNacional 
Lamentable congreso, que diablos elegimos los Peruanos, un voto responsable es lo que nos falta, pero pedir esto imposible sino tenemos educación. 😭😭😭😭"	covid-19	1291064881744097280	2020-08-05 17:33:49	84	MariaCespedesc	ro_solorzanoG
Cdte_Gal_	@MariaCespedesc @PCaterianoB Buena intervención.	covid-19	1291063796044308485	2020-08-05 17:29:30	85	MariaCespedesc	Cdte_Gal_
gino_rt	@MariaCespedesc @PCaterianoB Cateriano no criticó su legitimidad, dijo q Uds no conocen el manejo d Inst. Públ. q son un Partido religioso y piden cosas irreales; Q Exp. En el sector Públ. tienen? Son un grupo político-religioso? Detalle esa experiencia y su cuadro técnico, su religión influye su Propuestas?	covid-19	1291063499460939777	2020-08-05 17:28:19	86	MariaCespedesc	gino_rt
abidiaztito	@MariaCespedesc @PCaterianoB Cuánta coherencia en su razonamiento	covid-19	1291063015899529217	2020-08-05 17:26:24	87	MariaCespedesc	abidiaztito
alangma	"@MariaCespedesc @PCaterianoB Toma bacteriano, eso no lo viste venir 🤭😂

Frepap cada dia va tomando más fuerza 💪🏼🦾
Pd: solo les falta un candidato presidencial sin controversias o líos."	covid-19	1291062137222201345	2020-08-05 17:22:54	88	MariaCespedesc	alangma
HelenCuray	"@MariaCespedesc @PCaterianoB Su discurso casi profético fue la mineria era una maldición casi casi el propio satanás en persona. Ahora no lo es 🤔🤔🤔supongo se dio cuenta que con eso pagan su sueldo.Cateriano  y su banda los ha llamado""los malditos de la plaza bolivar"" ""los injertos de la plaza bolivar"""	covid-19	1291060785523949569	2020-08-05 17:17:32	89	MariaCespedesc	HelenCuray
Daniel2986	@MariaCespedesc @PCaterianoB También promueven corrupción no es así? https://t.co/GWjSDN2GdS	covid-19	1291059957186662400	2020-08-05 17:14:15	90	MariaCespedesc	Daniel2986
Lenny_AC	@MariaCespedesc @PCaterianoB Deberían leer a fondo los dictámenes, y las leyes que hacen los sinvergüenza, no parecen luchar contra la corrupción. Se les ve muy dóciles. Los corruptos se pasean en sus caras. Necesitamos más acción, menos palabras.	covid-19	1291058704670953472	2020-08-05 17:09:16	91	MariaCespedesc	Lenny_AC
JerryCh46497782	@MariaCespedesc @esquinabaja @PCaterianoB Monjita una pregunta? Les permiten sexo anal (hetero) en la secta? Estoy pensando unirme	covid-19	1291058508671135749	2020-08-05 17:08:29	92	MariaCespedesc	JerryCh46497782
LuisCarlos2801	"@MariaCespedesc @PCaterianoB Su partido ha metido en una crisis política al país en plena pandemia. Eso significa un profundo daño a todo lo que usted representa.

El desconocimiento de cómo funcionan las instituciones es innegable, aquí no hay discriminación sólo una descripción objetiva de los hechos."	covid-19	1291057971812851720	2020-08-05 17:06:21	93	MariaCespedesc	LuisCarlos2801
MIJOZEVA	@MariaCespedesc @esquinabaja @PCaterianoB Seria bueno saber cual es su concepto de «inversion minera responsable» para validar sus creencias ... ademas tambien cree en inversion agraria responsable?	covid-19	1291057911385530369	2020-08-05 17:06:07	94	MariaCespedesc	MIJOZEVA
RGersonLC	@MariaCespedesc @PCaterianoB Mis respetos, señora. Espero tenga la oportunidad de explorar otodas las ventajas que la minería formal puede otorgarle al Perú	covid-19	1291057555624660992	2020-08-05 17:04:42	95	MariaCespedesc	RGersonLC
giov2000	@MariaCespedesc @PCaterianoB Eres una fanatica religiosa... es la verdad y no se puede negar. Quien le habrá escrito el tweet porque hilar 2 frases seguida no pueden?	covid-19	1291057236744327168	2020-08-05 17:03:26	96	MariaCespedesc	giov2000
Hola12378409418	@MariaCespedesc @PCaterianoB Bien dicho , ganarán Miles de votos con esos tipos de expresiones	covid-19	1291056086603239426	2020-08-05 16:58:52	97	MariaCespedesc	Hola12378409418
xTeRm0	"@MariaCespedesc @camcesar @PCaterianoB Jajajajaja.... ese Cateriano ya quedó inmortalizado con el Chaplin de la ""luz verde""...
Hasta los pescaditos lo vacilan!"	covid-19	1291052998974738432	2020-08-05 16:46:36	98	MariaCespedesc	xTeRm0
politicaperuana	@MariaCespedesc @esquinabaja @PCaterianoB Ahora van a salir los troles de palacio a defender al luz verde de nadine, el sobonaso humalista, balon de odio de Cateriano.	covid-19	1291052327063953415	2020-08-05 16:43:56	99	MariaCespedesc	politicaperuana
ETJHILTON	@MariaCespedesc @PCaterianoB Total pescaditos descerebrados en la pocilga del @congresoperu dijiste q la mineria es una maldición casi como un juramento lo expresarse y ahora recurres a la minería, se comprueba q la ignorancia y la idiotez es muy atrevida sobretodo en pseudos políticos @pcmperu @FREPAP_FIA	covid-19	1291052111975899140	2020-08-05 16:43:04	100	MariaCespedesc	ETJHILTON
fredy_eliot	@MariaCespedesc @PCaterianoB O sea la misma minería imaginaria que apoya el Frente Amplio.	covid-19	1291051842810654721	2020-08-05 16:42:00	101	MariaCespedesc	fredy_eliot
rosecito	@MariaCespedesc @PCaterianoB Ayy señora que rápido aprenden las mañoserias políticas, tener conciencia política es velar por todo los intereses del país, no sólo ser furgón de cola para intereses políticos o particulares, el Perú está primero 🤷‍♂️	covid-19	1291051235450277889	2020-08-05 16:39:35	102	MariaCespedesc	rosecito
PPaqola	@MariaCespedesc @MiguelHilarioE @PCaterianoB Que sepa hay Cía con buenas prácticas pero son nuestros compatriotas q fungen de avivatos q trasgreden todo.	covid-19	1291050991857610752	2020-08-05 16:38:37	103	MariaCespedesc	PPaqola
Conny2407	@MariaCespedesc @PCaterianoB Con el respeto q se merece sra., le pido no se dejen manipular x esos politiqueros de siempre, creo en su buena fe, pero no es el momento q les hagan el juego, ya ve q ellos se han abstenido y como siempre la izquierda tb cae en lo mismo, los utilizan y acuerdense q hay pandemia	covid-19	1291050803126587392	2020-08-05 16:37:52	104	MariaCespedesc	Conny2407
camila70_	@MariaCespedesc @PCaterianoB Mineria responsable cuidando el medioambiente y a nuestros hnos para q  logren desarrollarse con Educacion y Salud para todos cero pobreza en las regiones mineras	covid-19	1291050635945742338	2020-08-05 16:37:12	105	MariaCespedesc	camila70_
carlosvasquezlp	@MariaCespedesc @esquinabaja @PCaterianoB Agarra esa flor Cateriano.	covid-19	1291049980904579074	2020-08-05 16:34:36	106	MariaCespedesc	carlosvasquezlp
LaMari16445930	@MariaCespedesc @esquinabaja @PCaterianoB En lo único que creen es en el pedofilo de vuestro líder histórico. Cuyo cuerpo putrefacto nunca despertó.	covid-19	1291049374894690314	2020-08-05 16:32:12	107	MariaCespedesc	LaMari16445930
elensarte	@MariaCespedesc @PCaterianoB No use lo de la luz verde, si averiguan eso nace de una mentira.	covid-19	1291048711829827584	2020-08-05 16:29:34	108	MariaCespedesc	elensarte
NinahuamanJose	@MariaCespedesc @PCaterianoB Han planteado algo contra la minería ilegal que es la que finalmente contamina más? (La minera formal también contamina y es lamentable que el estado no haga respetar las leyes y se sancione)	covid-19	1291047055570489345	2020-08-05 16:22:59	109	MariaCespedesc	NinahuamanJose
