user-id|,text|,topic|,thread-id|,time|,post-id|,replyTo|,replyBy|
El_Iluminado_2,"@MariaCespedesc @FrepapBancada Tira de ignorantes, no piensan que el.único perjudicado es el pueblo. Dios líbranos de esta plaga. Felizmente les queda menos de un año. Lárguense ya...",covid-19,1290736332596273158,2020-08-04 19:48:17,37,MariaCespedesc,El_Iluminado_2
freedom031056,"@MariaCespedesc @FrepapBancada Fuera chantajistas. 
Nivel fujiapristas.",covid-19,1290724647932178432,2020-08-04 19:01:51,38,MariaCespedesc,freedom031056
GeorgeE66768357,@MariaCespedesc @FrepapBancada Muy bien señores del Frepap.,covid-19,1290722958571446273,2020-08-04 18:55:08,39,MariaCespedesc,GeorgeE66768357
GloriaZuigaDeC1,@MariaCespedesc @FrepapBancada Bien 👍👍,covid-19,1290715093861314565,2020-08-04 18:23:53,40,MariaCespedesc,GloriaZuigaDeC1
GloriaZuigaDeC1,@MariaCespedesc @FrepapBancada Ahora quitemos la publicidad a los medios!!! No mas mermelada,covid-19,1290714862528716806,2020-08-04 18:22:58,41,MariaCespedesc,GloriaZuigaDeC1
xzeta666,@MariaCespedesc @FrepapBancada A pulso se están ganando mi voto,covid-19,1290712614780243969,2020-08-04 18:14:02,42,MariaCespedesc,xzeta666
qg_veronica,@MariaCespedesc @FrepapBancada Sra. Congresista se ha enterado que estamos en una pandemia?. Sabe que al recomponer un gabinete tomará aprox 15 dias que los Ministerios retomen sus funciones con normalidad?. Esa es la realidad y mientrás tanto qué?,covid-19,1290711776947056642,2020-08-04 18:10:42,43,MariaCespedesc,qg_veronica
Ronaldr41711965,@MariaCespedesc @FrepapBancada Sí es verdad los peruanos necesitamos cambios y ayuda rápida en estos momentos y no seguir esperando demasiado tiempo la ayuda,covid-19,1290709493689524224,2020-08-04 18:01:38,44,MariaCespedesc,Ronaldr41711965
lentejitamarron,@MariaCespedesc @ginoequidad @FrepapBancada Ustedes deberían haberse quedado dando diezmo. https://t.co/IpA577l6xg,covid-19,1290706702732529668,2020-08-04 17:50:32,45,MariaCespedesc,lentejitamarron
otiz224,"@MariaCespedesc @ginoequidad @FrepapBancada Sus buenas intenciones no bastan, no están transan do con gente honesta, están en medio de pillos ladrones y extorcionadores entienda el contexto en el que se maneja o de un paso al costado a sumergido al país en una crisis mire lo que provoca https://t.co/Ust6inibMB",covid-19,1290705404264144896,2020-08-04 17:45:23,46,MariaCespedesc,otiz224
